user_id,name,slug,price,stock,image,additional_images,description,category
1,Apple iPhone 15 Pro,apple-iphone-15-pro,999.99,50,https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=500,https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=500,Latest Apple iPhone with A17 Pro chip and titanium design,Toys
1,Samsung Galaxy S24 Ultra,samsung-galaxy-s24-ultra,1199.99,40,https://images.unsplash.com/photo-1706439136040-449dff3d3b98?w=500,https://images.unsplash.com/photo-1706439136040-449dff3d3b98?w=500,Samsung flagship with S Pen and 200MP camera,Toys
1,Sony WH-1000XM5,sony-wh-1000xm5,349.99,75,https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb?w=500,https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb?w=500,Industry leading noise cancelling headphones,Toys
1,Apple MacBook Pro 14,apple-macbook-pro-14,1999.99,30,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=500,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=500,MacBook Pro with M3 Pro chip and Liquid Retina XDR display,Toys
1,Dell XPS 15,dell-xps-15,1799.99,25,https://images.unsplash.com/photo-1593642632559-0c6d3fc62b89?w=500,https://images.unsplash.com/photo-1593642632559-0c6d3fc62b89?w=500,Dell premium laptop with OLED display and Intel Core i9,Toys
1,Nike Air Max 270,nike-air-max-270,129.99,100,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,Nike lifestyle shoe with large Air unit,Toys
1,Adidas Ultraboost 23,adidas-ultraboost-23,189.99,80,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=500,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=500,Adidas running shoe with Boost midsole,Toys
1,Sony PlayStation 5,sony-playstation-5,499.99,20,https://images.unsplash.com/photo-1606813907291-d86efa9b94db?w=500,https://images.unsplash.com/photo-1606813907291-d86efa9b94db?w=500,Sony next gen gaming console with DualSense controller,Toys
1,Xbox Series X,xbox-series-x,499.99,20,https://images.unsplash.com/photo-1621259182978-fbf93132d53d?w=500,https://images.unsplash.com/photo-1621259182978-fbf93132d53d?w=500,Microsoft most powerful Xbox console ever,Toys
1,Apple iPad Pro 12.9,apple-ipad-pro-12,1099.99,35,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=500,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=500,iPad Pro with M2 chip and Liquid Retina XDR display,Toys
1,Samsung 65 QLED TV,samsung-65-qled-tv,1299.99,15,https://images.unsplash.com/photo-1593359677879-a4bb92f4834a?w=500,https://images.unsplash.com/photo-1593359677879-a4bb92f4834a?w=500,Samsung 65 inch QLED 4K Smart TV,Toys
1,Dyson V15 Detect,dyson-v15-detect,749.99,40,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=500,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=500,Dyson cordless vacuum with laser dust detection,Toys
1,Instant Pot Duo 7-in-1,instant-pot-duo-7-in-1,89.99,60,https://images.unsplash.com/photo-1585515320310-259814833e62?w=500,https://images.unsplash.com/photo-1585515320310-259814833e62?w=500,Multi use pressure cooker and slow cooker,Toys
1,KitchenAid Stand Mixer,kitchenaid-stand-mixer,449.99,30,https://images.unsplash.com/photo-1594385208974-2e75f8d7bb48?w=500,https://images.unsplash.com/photo-1594385208974-2e75f8d7bb48?w=500,KitchenAid 5 quart tilt head stand mixer,Toys
1,Levis 501 Original Jeans,levis-501-original-jeans,69.99,120,https://images.unsplash.com/photo-1542272604-787c3835535d?w=500,https://images.unsplash.com/photo-1542272604-787c3835535d?w=500,Iconic straight fit jeans with button fly,Toys
1,The North Face Puffer Jacket,north-face-puffer-jacket,229.99,50,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=500,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=500,Warm and lightweight puffer jacket for cold weather,Toys
1,Canon EOS R6 Mark II,canon-eos-r6-mark-ii,2499.99,15,https://images.unsplash.com/photo-1609695590044-948370f43b79?w=500,https://images.unsplash.com/photo-1609695590044-948370f43b79?w=500,Canon mirrorless camera with 40fps burst shooting,Toys
1,GoPro Hero 12 Black,gopro-hero-12-black,399.99,45,https://images.unsplash.com/photo-1564466809058-bf4114d55352?w=500,https://images.unsplash.com/photo-1564466809058-bf4114d55352?w=500,GoPro action camera with HyperSmooth 6.0,Toys
